/ID	Name	Year Published	Min Players	Max Players	Play Time	Min Age	Users Rated	Rating Average	BGG Rank	Complexity Average	Owned Users	Mechanics	Domains
267475	Stay Cool	2019	3	7	30	12	291	7.14	4112	1	659	Time Track	
13709	Clash of Giants II: 1st Ypres & Galicia 1914	2006	1	2	300	12	292	7.18	4113	2.37	767	Chit-Pull System. Hexagon Grid	Wargames
57073	The Fires of Midway	2010	1	4	60	0	277	7.38	4114	2.52	612	Hand Management	Wargames
278120	God of War: The Card Game	2019	1	4	180	14	415	6.91	4115	2.75	1082	Cooperative Game. Deck Bag and Pool Building. Solo / Solitaire Game	
171261	Hocus	2016	2	5	30	10	504	6.58	4116	2.29	1155	Hand Management. Pattern Building. Variable Player Powers	
124590	Call to Glory	2012	2	4	30	8	536	6.52	4117	1.53	613	Hand Management. Set Collection	Family Games
244212	Railroad Rivals	2018	1	5	60	8	538	6.55	4118	2.15	1282	Auction/Bidding. Card Drafting. Tile Placement. Victory Points as a Resource	
814	Aquarius	1998	2	5	30	6	1696	6.05	4119	1.14	2844	Pattern Building. Tile Placement	Family Games
283095	Cosmic Colonies	2020	1	5	45	10	246	7.45	4120	1.83	674	Card Drafting. Pattern Building. Simultaneous Action Selection. Tile Placement	
233956	Bali	2017	2	4	45	10	374	6.81	4121	2.27	553	Card Drafting. Hand Management. Stock Holding	
218580	Divinity Derby	2017	3	6	90	10	380	6.84	4122	1.88	777	Betting and Bluffing. Card Drafting. Variable Player Powers	
247585	Waste Knights: Second Edition	2020	1	4	180	14	238	8.10	4123	3.13	846	Card Drafting. Cooperative Game. Dice Rolling. Pick-up and Deliver. Role Playing. Storytelling. Variable Player Powers	
291572	Oath: Chronicles of Empire and Exile	2021	1	6	120	10	230	7.87	4124	3.82	460	Area Majority / Influence. Area Movement. Card Drafting. Scenario / Mission / Campaign Game	Strategy Games. Thematic Games
17857	18Scan	2005	2	4	180	12	233	7.40	4125	3.64	240	Network and Route Building. Stock Holding. Tile Placement	Strategy Games
37461	Krakw 1325 AD	2008	4	4	120	10	562	6.45	4126	2.43	609	Area Majority / Influence. Hand Management. Team-Based Game. Trick-taking	Strategy Games
240529	Microbrew	2017	2	2	60	14	401	6.86	4127	2.94	1746	Pattern Building. Pattern Recognition. Worker Placement	
1379	Ebbe & Flut	2000	1	2	45	10	536	6.49	4128	1.91	1134	Grid Movement	Abstract Games
287322	Mystic Market	2019	2	4	45	10	292	7.29	4129	1.80	770	Card Drafting. Commodity Speculation. Hand Management. Set Collection. Take That	
4958	Ardennes	1994	2	4	180	12	316	7.11	4130	2.85	799	Dice Rolling. Hexagon Grid. Simulation. Zone of Control	Wargames
282439	Lux Aeterna	2019	1	1	12	10	318	7.01	4131	2.08	738	Card Drafting. Hand Management. Solo / Solitaire Game	
39932	Chariots of Fire	2010	1	4	180	0	229	7.51	4132	3.63	979	Chit-Pull System. Dice Rolling. Hexagon Grid. Simulation	Wargames
147451	Field of Glory: The Card Game	2013	2	2	30	13	449	6.61	4133	1.92	922	Card Drafting. Deck Bag and Pool Building. Hand Management. Modular Board. Secret Unit Deployment	Strategy Games. Wargames
254110	A Thief's Fortune	2018	1	4	90	12	380	6.78	4134	2.67	983	Card Drafting	
114667	The New Science	2013	2	5	90	12	626	6.46	4135	2.64	1081	Action Points. Area Majority / Influence. Dice Rolling. Tech Trees / Tech Tracks. Variable Player Powers. Worker Placement	Strategy Games
85000	We Must Tell the Emperor	2010	1	1	60	12	257	7.39	4136	2.02	469	Action Points. Campaign / Battle Card Driven. Dice Rolling. Point to Point Movement. Simulation. Solo / Solitaire Game	Wargames
101929	Sergeants Miniatures Game: Day of Days	2011	2	6	180	10	241	7.69	4137	2.59	399	Campaign / Battle Card Driven. Card Drafting. Modular Board	Wargames
3573	Napoleon at Waterloo	1971	2	2	30	10	487	6.64	4138	1.92	1110	Dice Rolling. Grid Movement. Hexagon Grid. Movement Points. Ratio / Combat Results Table. Simulation. Zone of Control	Wargames
